"OPORTUNIDADE_ID";"CODIGO_OPORTUNIDADE";"DS_CONTRATO_BENNER";"TP_STATUS";"NM_VERTICAL";"NM_REGIONAL";"DT_CRIACAO";"DT_FECHAMENTO";"DT_ESTIM_FECHAMENTO";"DS_PORTE";"DS_TIPO";"NM_RAZAO_SOCIAL";"NR_CNPJ";"NM_DONO";"NM_SPONSOR";"NM_PARCEIRO";"DS_CLASSIFICACAO";"CD_ITEM_OPORTUNIDADE";"DS_ITEM";"NM_VERTICAL_ITEM";"NR_QUANTIDADE";"NR_PRECO_UNITARIO";"NR_PRECO_TOTAL";"NR_DESCONTO";"NR_PRECO_TOTAL_DESCONTO";"DT_MODIFICACAO_ITEM";"DT_INSERT";"TP_VENDA";"TP_SERVICO";"DS_PRIMEIRA_PARCELA";"NR_QUANTIDADE"
"0065f00000NI2JvAAL";Brasil-PR-2023-00083817;FQF/00024190/2024;Ganha;"Conecte-se;Flowti;Serviços Técnicos;UniMV;Hospitalar";Sul;2023-09-26 00:00:00.000;2024-01-26 00:00:00.000;2024-01-26 00:00:00.000;Médio;Privada;Hospital Paranaense De Otorrinolaringologia Ltda;"85514370000108";Magnes Silverio de Campos;César Augusto de Oliveira Paim;;Cliente Novo;"00k5f00001B44lFAAR";Manutenção - Soul MV - Gestão Hospitalar;Hospitalar;11;21000;231000;0;231000;2024-07-29 00:00:00.000;2024-08-22 08:55:04.000;Contrato;Manutenção;"120 dias";11
"0065f00000NI2JvAAL";Brasil-PR-2023-00083817;FQF/00024158/2024;Ganha;"Conecte-se;Flowti;Serviços Técnicos;UniMV;Hospitalar";Sul;2023-09-26 00:00:00.000;2024-01-26 00:00:00.000;2024-01-26 00:00:00.000;Médio;Privada;Hospital Paranaense De Otorrinolaringologia Ltda;"85514370000108";Magnes Silverio de Campos;César Augusto de Oliveira Paim;;Cliente Novo;"00k5f00001B44lEAAR";Licença de Uso - Soul MV - Gestão Hospitalar;Hospitalar;200;1950;390000;0;390000;2024-07-29 00:00:00.000;2024-08-22 08:55:04.000;Contrato;Licença de Uso;"01 dia útil";200
"0065f00000NI2JvAAL";Brasil-PR-2023-00083817;FQF/00023346/2024;Ganha;"Conecte-se;Flowti;Serviços Técnicos;UniMV;Hospitalar";Sul;2023-09-26 00:00:00.000;2024-01-26 00:00:00.000;2024-01-26 00:00:00.000;Médio;Privada;Hospital Paranaense De Otorrinolaringologia Ltda;"85514370000108";Magnes Silverio de Campos;César Augusto de Oliveira Paim;;Cliente Novo;"00k5f00001B44lDAAR";Manutenção - Integração NFSE Municipal;Conecte-se;1;600;600;50;300;2024-07-29 00:00:00.000;2024-08-22 08:55:04.000;Contrato;Manutenção;"120 dias";1
"0065f00000NI2JvAAL";Brasil-PR-2023-00083817;FQF/00024179/2024;Ganha;"Conecte-se;Flowti;Serviços Técnicos;UniMV;Hospitalar";Sul;2023-09-26 00:00:00.000;2024-01-26 00:00:00.000;2024-01-26 00:00:00.000;Médio;Privada;Hospital Paranaense De Otorrinolaringologia Ltda;"85514370000108";Magnes Silverio de Campos;César Augusto de Oliveira Paim;;Cliente Novo;"00k5f00001BBEZUAA5";Serviços - Soul MV - Gestão Hospitalar;Serviços Técnicos;1;7164.94;7164.94;0;7164.94;2024-07-29 00:00:00.000;2024-08-22 08:55:04.000;Contrato;Serviços;"01 dia útil";1
"0065f00000NI2JvAAL";Brasil-PR-2023-00083817;FQF/00024179/2024;Ganha;"Conecte-se;Flowti;Serviços Técnicos;UniMV;Hospitalar";Sul;2023-09-26 00:00:00.000;2024-01-26 00:00:00.000;2024-01-26 00:00:00.000;Médio;Privada;Hospital Paranaense De Otorrinolaringologia Ltda;"85514370000108";Magnes Silverio de Campos;César Augusto de Oliveira Paim;;Cliente Novo;"00k5f00001B44lGAAR";Serviços - Soul MV - Gestão Hospitalar;Hospitalar;1;557432.07;557432.07;0;557432.07;2024-07-29 00:00:00.000;2024-08-22 08:55:04.000;Contrato;Serviços;"01 dia útil";1
"0065f00000NI2JvAAL";Brasil-PR-2023-00083817;FQF/00024191/2024;Ganha;"Conecte-se;Flowti;Serviços Técnicos;UniMV;Hospitalar";Sul;2023-09-26 00:00:00.000;2024-01-26 00:00:00.000;2024-01-26 00:00:00.000;Médio;Privada;Hospital Paranaense De Otorrinolaringologia Ltda;"85514370000108";Magnes Silverio de Campos;César Augusto de Oliveira Paim;;Cliente Novo;"00k5f00001B53VLAAZ";Recorrência - Comer. Padrão UniMV - Soul MV - 10 usuários;UniMV;1;300;300;50;150;2024-07-29 00:00:00.000;2024-08-22 08:55:04.000;Contrato;Cursos e Treinamentos;"120 dias";1
"0065f00000NI2JvAAL";Brasil-PR-2023-00083817;FQF/00024179/2024;Ganha;"Conecte-se;Flowti;Serviços Técnicos;UniMV;Hospitalar";Sul;2023-09-26 00:00:00.000;2024-01-26 00:00:00.000;2024-01-26 00:00:00.000;Médio;Privada;Hospital Paranaense De Otorrinolaringologia Ltda;"85514370000108";Magnes Silverio de Campos;César Augusto de Oliveira Paim;;Cliente Novo;"00k5f00001B53WDAAZ";Implantação - Comer. Padrão UniMV - Soul MV - 10 usuários;UniMV;1;1500;1500;0;1500;2024-07-29 00:00:00.000;2024-08-22 08:55:04.000;Contrato;Cursos e Treinamentos;"01 dia útil";1
"0065f00000NI2JvAAL";Brasil-PR-2023-00083817;FQF/00024191/2024;Ganha;"Conecte-se;Flowti;Serviços Técnicos;UniMV;Hospitalar";Sul;2023-09-26 00:00:00.000;2024-01-26 00:00:00.000;2024-01-26 00:00:00.000;Médio;Privada;Hospital Paranaense De Otorrinolaringologia Ltda;"85514370000108";Magnes Silverio de Campos;César Augusto de Oliveira Paim;;Cliente Novo;"00k5f00001B5ML0AAN";Recorrência - Comer. Padrão UniMV - Soul MV - 10 usuários;UniMV;11;300;3300;0;3300;2024-07-29 00:00:00.000;2024-08-22 08:55:04.000;Contrato;Cursos e Treinamentos;"120 dias";11
"0065f00000NI2JvAAL";Brasil-PR-2023-00083817;FQF/00023346/2024;Ganha;"Conecte-se;Flowti;Serviços Técnicos;UniMV;Hospitalar";Sul;2023-09-26 00:00:00.000;2024-01-26 00:00:00.000;2024-01-26 00:00:00.000;Médio;Privada;Hospital Paranaense De Otorrinolaringologia Ltda;"85514370000108";Magnes Silverio de Campos;César Augusto de Oliveira Paim;;Cliente Novo;"00k5f00001B5MNnAAN";Manutenção - Integração NFSE Municipal;Conecte-se;11;600;6600;0;6600;2024-07-29 00:00:00.000;2024-08-22 08:55:04.000;Contrato;Manutenção;"120 dias";11
"0065f00000NI2JvAAL";Brasil-PR-2023-00083817;FQF/00024190/2024;Ganha;"Conecte-se;Flowti;Serviços Técnicos;UniMV;Hospitalar";Sul;2023-09-26 00:00:00.000;2024-01-26 00:00:00.000;2024-01-26 00:00:00.000;Médio;Privada;Hospital Paranaense De Otorrinolaringologia Ltda;"85514370000108";Magnes Silverio de Campos;César Augusto de Oliveira Paim;;Cliente Novo;"00k5f00001B5MO3AAN";Manutenção - Soul MV - Gestão Hospitalar;Hospitalar;1;21000;21000;50;10500;2024-07-29 00:00:00.000;2024-08-22 08:55:04.000;Contrato;Manutenção;"120 dias";1
